especievalida,nombrecomun,endemismo,longitud,latitud
Aimophila notosticta,zacatonero oaxaqueño,Endémica,-96.5470362,17.2867871
Amazilia yucatanensis,"colibrí vientre canelo, colibrí yucateco",Cuasiendémica,-95.4289046,18.6097735
Amazona finschi,loro corona lila,Endémica,-105.4616669,20.3047219
Amazona oratrix,loro cabeza amarilla,Cuasiendémica,-96.8705558,15.8469438
Amazona viridigenalis,loro tamaulipeco,Endémica,-98.0166667,24.7666667
Amazona xantholora,loro yucateco,Cuasiendémica,-89.3008333,18.605
Amphispizopsis quinquestriata,zacatonero cinco rayas,Semiendémica,-109.67802,28.57998
Antrostomus badius,"tapacamino huil, tapacaminos yucateco",Semiendémica,-86.9159475,20.8526565
Antrostomus salvini,"tapacamino ticuer, tapacaminos ticurú",Endémica,-91.584886,16.980111
Aphelocoma ultramarina,"chara pecho gris neovolcánica, chara transvolcánica",Endémica,-99.249065,19.009524
Archilochus alexandri,colibrí barba negra,Semiendémica,-105.4724853,20.3953046
Ardea herodias santilucae,garza morena,Endémica,-110,27.09
Arremon virenticeps,"atlapetes rayas verdes, rascador cejas verdes",Endémica,-102.007923,19.490593
Arremonops rufivirgatus,rascador oliváceo,Cuasiendémica,-100.1943898,17.4221123
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",Endémica,-103.518863,19.533456
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",Cuasiendémica,-100.1943898,17.4221123
Basilinna xantusii,"zafiro bajacaliforniano, zafiro de Xantus",Endémica,-110.221748,23.449437
Bubo virginianus mayensis,búho cornudo,Endémica,-99.5,17.55
Buteo jamaicensis fumosus,aguililla cola roja,Endémica,-106.4133333,21.4533333
Buteo jamaicensis socorroensis,aguililla cola roja,Endémica,-110.9833333,18.75
Callipepla douglasii,codorniz cresta dorada,Endémica,-109.544274,28.4573233
Calocitta colliei,"urraca cara negra, urraca-hermosa cara negra",Endémica,-105.1531213,21.5057976
Calothorax lucifer,colibrí lucifer,Semiendémica,-99.1195214,20.0073064
Calothorax pulcher,"colibrí mixteco, colibrí tijereta oaxaqueño",Endémica,-94.8912506,16.598907
Campephilus imperialis,carpintero imperial,Endémica,-108.9866667,30.12
Campylorhynchus chiapensis,matraca chiapaneca,Endémica,-92.2333156,14.8890147
Campylorhynchus gularis,matraca serrana,Endémica,-108.034941,27.320249
Campylorhynchus jocosus,matraca del Balsas,Endémica,-96.510774,17.0098918
Campylorhynchus megalopterus,matraca barrada,Endémica,-103.518863,19.533456
Campylorhynchus rufinucha rufinucha,matraca nuca rufa,Endémica,-95.9333333,18.8833333
Campylorhynchus yucatanicus,matraca yucateca,Endémica,-89.83825,21.248864
Cardellina rubra,chipe rojo,Endémica,-100.1943898,17.4221123
Cardellina rubrifrons,chipe cara roja,Semiendémica,-105.5,23.6166667
Cardellina versicolor,chipe rosado,Cuasiendémica,-92.528605,16.673972
Cardinalis cardinalis mariae,cardenal rojo,Endémica,-106.2416667,21.305
Cassiculus melanicterus,cacique mexicano,Cuasiendémica,-100.1943898,17.4221123
Catharus occidentalis,zorzal mexicano,Endémica,-99.211,19.022
Centronyx bairdii,gorrión de Baird,Semiendémica,-108.349,30.7114
Coccothraustes abeillei,picogrueso encapuchado,Cuasiendémica,-92.085257,15.086542
Colaptes auratus rufipileus,carpintero de guadalupe,Endémica,-118.2666667,29
Colaptes auricularis,carpintero corona gris,Endémica,-100.1943898,17.4221123
Colinus nigrogularis,codorniz yucateca,Cuasiendémica,-89.0320753,18.4323762
Corvus imparatus,cuervo tamaulipeco,Cuasiendémica,-97.7766478,23.7870218
Corvus sinaloae,cuervo sinaloense,Endémica,-105.3478389,20.9613568
Coturnicops noveboracensis goldmani,gallineta del Lerma,Endémica,-99.5,19.25
Crotophaga sulcirostris pallidula,garrapatero pijuy,Endémica,-109.7066667,23.055
Cyanocorax beecheii,"chara de Beechy, chara sinaloense",Endémica,-108.946781,27.043627
Cyanocorax dickeyi,chara pinta,Endémica,-105.837406,23.480019
Cyanocorax sanblasianus,chara de San Blas,Endémica,-105.0348185,19.4473107
Cyanocorax yucatanicus,chara yucateca,Cuasiendémica,-89.9012736,18.5338613
Cyanolyca mirabilis,chara garganta blanca,Endémica,-100.1943898,17.4221123
Cyanolyca nanus,chara enana,Endémica,-96.640509,17.197801
Cynanthus auriceps,"esmeralda mexicana, esmeralda occidental",Endémica,-100.1943898,17.4221123
Cynanthus forficatus,"esmeralda de Cozumel, esmeralda de Isla Cozumel",Endémica,-87.01397,20.40559
Cynanthus latirostris,colibrí pico ancho,Semiendémica,-109.544274,28.4573233
Cypseloides storeri,"vencejo cara blanca, vencejo frente blanca",Endémica,-100.0429373,19.0444481
Cyrtonyx montezumae sallei,codorniz de salle,Endémica,-99.895,17.3466667
Dendrortyx barbatus,codorniz coluda veracruzana,Endémica,-98.03407,20.211076
Dendrortyx macroura,codorniz coluda transvolcánica,Endémica,-100.1943898,17.4221123
Doricha eliza,"colibrí cola hendida, colibrí tijereta mexicano",Endémica,-87.7436041,21.5312705
Dryobates arizonae,carpintero de Arizona,Cuasiendémica,-103.5252348,20.6998431
Dryobates stricklandi,"carpintero de Strickland, carpintero transvolcánico",Endémica,-99.7747421,19.1110448
Elaenia martinica,"elenia caribeña, mosquero elenia caribeño",Cuasiendémica,-86.96811,20.4879092
Empidonax affinis,"mosquero pinero, papamoscas pinero",Cuasiendémica,-99.2333333,18.945
Empidonax difficilis,"mosquero californiano, papamoscas amarillo del pacífico",Semiendémica,-100.1943898,17.4221123
Empidonax difficilis cineritius,mosquero californiano,Endémica,-109.6016667,23.0883333
Empidonax oberholseri,"mosquero oscuro, papamoscas matorralero",Semiendémica,-103.518863,19.533456
Empidonax occidentalis,"mosquero barranqueño, papamoscas amarillo barranqueño",Semiendémica,-100.1943898,17.4221123
Empidonax wrightii,"mosquero gris, papamoscas bajacolita",Semiendémica,-109.928211,23.657133
Eupherusa cyanophrys,"colibrí miahuatleco, colibrí oaxaqueño",Endémica,-96.4243948,15.9462477
Eupherusa poliocerca,"colibrí cola blanca, colibrí guerrerense",Endémica,-100.1943898,17.4221123
Eupherusa ridgwayi,ninfa mexicana,Endémica,-104.929693,20.782789
Euphonia godmani,eufonia garganta negra,Endémica,-103.7424167,18.6990278
Euptilotis neoxenus,"quetzal orejón, trogón orejón",Cuasiendémica,-108.163273,29.320693
Forpus cyanopygius,"perico catarina, periquito catarino",Endémica,-108.0783333,25.46
Forpus cyanopygius insularis,catarina de las Islas Marías,Endémica,-106.2416667,21.305
Geothlypis beldingi,"mascarita bajacaliforniana, mascarita peninsular",Endémica,-109.6914954,23.0485647
Geothlypis flavovelata,mascarita de Altamira,Endémica,-99.0440333,22.9511222
Geothlypis nelsoni,mascarita matorralera,Endémica,-98.03407,20.211076
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",Endémica,-99.4973373,19.1531034
Glaucidium palmarum,tecolote colimense,Endémica,-96.1680508,15.7369101
Glaucidium sanchezi,tecolote tamaulipeco,Endémica,-99.2587,23.2363
Granatellus venustus,granatelo mexicano,Endémica,-96.1492538,15.7766433
Granatellus venustus francescae,granatelo de las Islas Marías,Endémica,-106.2416667,21.305
Haemorhous mexicanus amplus,gorrión de Guadalupe,Endémica,-117.25,32.4333333
Haemorhous mexicanus mcgregori,gorrión de San Benito,Endémica,-115.5866667,28.305
Hydrobates macrodactylus,"paíño de Guadalupe, paíño de Isla Guadalupe",Endémica,-118.26741,29.00015
Hydrobates melania,paíño negro,Semiendémica,-111.2557983,27.9689337
Hydrobates microsoma,paíño mínimo,Semiendémica,-111.2557983,27.9689337
Hylorchilus navai,"chivirín de Nava, cuevero de Nava",Endémica,-93.4664655,16.9145437
Hylorchilus sumichrasti,"chivirín de Sumichrast, cuevero de Sumichrast",Endémica,-96.8801082,18.624561
Icterus abeillei,"bolsero dorsioscuro, calandria flancos negros",Endémica,-101.3599994,20.684424
Icterus auratus,"bolsero yucateco, calandria dorso naranja",Cuasiendémica,-89.5609001,20.8180651
Icterus bullockii,"bolsero calandria, calandria cejas naranjas",Semiendémica,-100.1943898,17.4221123
Icterus cucullatus,"bolsero encapuchado, calandria dorso negro menor",Semiendémica,-89.0320753,18.4323762
Icterus graduacauda,"bolsero cabeza negra, calandria capucha negra",Cuasiendémica,-100.1943898,17.4221123
Icterus parisorum,"bolsero tunero, calandria tunera",Semiendémica,-98.815118,18.927638
Icterus pustulatus graysonii,bolsero dorso rayado,Endémica,-106.2416667,21.305
Icterus spurius fuertesi,bolsero castaño,Endémica,-95.6333333,18.65
Junco bairdi,junco sudcaliforniano,Endémica,-109.9762344,23.548595
Junco insularis,"junco de Isla Guadalupe, junco ojo oscuro",Endémica,-118.3306099,29.10919
Junco phaeonotus,junco ojos de lumbre,Cuasiendémica,-98.03407,20.211076
Lampornis clemenciae,colibrí garganta azul,Semiendémica,-99.1195214,20.0073064
Larus heermanni,"gaviota ploma, gaviota plomiza",Semiendémica,-113.5288954,31.2964638
Larus livens,"gaviota bajacaliforniana, gaviota pata amarilla",Semiendémica,-113.5288954,31.2964638
Leiothlypis crissalis,"chipe crisal, chipe de colima",Semiendémica,-103.518863,19.533456
Leiothlypis luciae,"chipe rabadilla castaña, chipe rabadilla rufa",Semiendémica,-109.2345923,26.405194
Leiothlypis virginiae,chipe de Virginia,Semiendémica,-103.2862532,20.731047
Lepidocolaptes leucogaster,"trepatroncos escarchado, trepatroncos mexicano",Endémica,-100.1943898,17.4221123
Leptotila jamaicensis,paloma caribeña,Cuasiendémica,-89.800128,18.241381
Leptotila verreauxi capitalis,paloma arroyera,Endémica,-106.2416667,21.305
Lophornis brachylophus,"coqueta cresta corta, coqueta de Atoyac",Endémica,-100.1943898,17.4221123
Megascops barbarus,tecolote barbudo,Cuasiendémica,-92.6383306,16.7366667
Megascops cooperi,tecolote de Cooper,Cuasiendémica,-92.8918767,15.4802515
Megascops seductus,tecolote del Balsas,Endémica,-99.234974,18.704864
Melanerpes chrysogenys,carpintero enmascarado,Endémica,-100.1943898,17.4221123
Melanerpes hypopolius,"carpintero del balsas, carpintero pecho gris",Endémica,-97.3947783,18.4823716
Melanerpes pygmaeus,carpintero yucateco,Cuasiendémica,-89.5540482,21.0237991
Melanoptila glabrirostris,maullador negro,Cuasiendémica,-87.3098356,20.3988183
Melanotis caerulescens,mulato azul,Endémica,-99.249065,19.009524
Meleagris ocellata,guajolote ocelado,Cuasiendémica,-89.7395699,21.0757484
Melospiza melodia graminea,"gorrión cantor de Coronados, gorrión cantor insular, zanjero cantor de Coronados",Endémica,-117.25,32.4333333
Melozone albicollis,"rascador oaxaqueño, toquí oaxaqueño",Endémica,-96.510774,17.0098918
Melozone kieneri,"rascador nuca canela, rascador nuca rufa",Endémica,-99.1014007,18.9658571
Micrathene whitneyi,tecolote enano,Semiendémica,-110.124315,23.441545
Mimus graysoni,"centzontle de Isla Socorro, centzontle de Socorro",Endémica,-110.95642,18.77768
Momotus coeruliceps,momoto corona azul,Endémica,-98.947105,22.0814097
Momotus mexicanus,"momoto corona café, momoto corona canela",Cuasiendémica,-100.1943898,17.4221123
Myiarchus yucatanensis,papamoscas yucateco,Cuasiendémica,-90.1960376,20.8158667
Nyctanassa violacea gravirostris,pedrete corona clara,Endémica,-110.9833333,18.75
Nyctiphrynus mcleodii,"tapacamino prío, tapacaminos prío",Endémica,-99.5,17.55
Nyctiphrynus yucatanicus,"tapacamino yucateco, tapacaminos huil",Cuasiendémica,-87.7313232,20.4823411
Oreophasis derbianus,"pavón, pavón cornudo",Cuasiendémica,-92.8922222,15.4244444
Oriturus superciliosus,"zacatonero rayado, zacatonero serrano",Endémica,-99.4973373,19.1531034
Ortalis poliocephala,chachalaca pálida,Endémica,-100.1943898,17.4221123
Ortalis wagleri,chachalaca vientre castaño,Endémica,-106.32161,23.5030583
Pampa curvipennis excellens,"fandanguero cola larga, fandanguero tuxtleño",Endémica,-95.1468534,18.5228338
Pampa rufa,"fandanguero canelo, fandanguero rojizo",Cuasiendémica,-92.085257,15.086542
Passerculus sandwichensis rostratus,gorrión sabanero,Semiendémica,-112.5,29
Passerculus sandwichensis sanctorum,gorrión sabanero,Endémica,-115.25,28.1983333
Passerina amoena,"colorín lázuli, colorín pecho canela",Semiendémica,-109.928211,23.657133
Passerina leclancherii,colorín pecho naranja,Endémica,-100.1943898,17.4221123
Passerina rositae,colorín azulrosa,Endémica,-94.8709,16.5835
Peucaea carpalis,"zacatonero ala rufa, zacatonero hombros canela",Cuasiendémica,-109.5463004,28.4557269
Peucaea humeralis,zacatonero pecho negro,Endémica,-99.1014007,18.9658571
Peucaea mystacalis,zacatonero embridado,Endémica,-96.234758,16.701318
Peucaea sumichrasti,zacatonero istmeño,Endémica,-93.646946,16.1749128
Phaeoptila sordida,"colibrí opaco, colibrí oscuro",Endémica,-96.510774,17.0098918
Phaethornis mexicanus,colibrí ermitaño mexicano,Endémica,-100.1943898,17.4221123
Pheucticus chrysopeplus,picogordo amarillo,Cuasiendémica,-99.1014007,18.9658571
Pheucticus melanocephalus,picogordo tigrillo,Semiendémica,-100.1943898,17.4221123
Pheugopedius felix,"chivirín feliz, saltapared feliz",Endémica,-100.1943898,17.4221123
Pheugopedius felix lawrencii,chivirín feliz,Endémica,-106.2416667,21.305
Philortyx fasciatus,"codorniz barrada, codorniz rayada",Endémica,-99.5833333,17.3333333
Pipilo ocai,"rascador de collar, toquí de collar",Endémica,-99.834252,17.609779
Piranga erythrocephala,"piranga cabeza roja, tangara cabeza roja",Endémica,-96.4243948,15.9462477
Piranga roseogularis,"piranga yucateca, tangara yucateca",Cuasiendémica,-88.2753237,20.6385237
Poecile sclateri,carbonero mexicano,Cuasiendémica,-105.8714233,23.592585
Poecilostreptus cabanisi,tangara chiapaneca,Cuasiendémica,-92.14638,15.08608
Polioptila albiventris,perlita yucateca,Endémica,-89.8413906,21.2487128
Polioptila nigriceps,perlita sinaloense,Endémica,-109.5463004,28.4557269
Progne sinaloae,golondrina sinaloense,Semiendémica,-104.8519446,20.7609876
Psiloscops flammeolus,tecolote ojos oscuros,Semiendémica,-104.2786111,23.29
Ptiliogonys cinereus,capulinero gris,Cuasiendémica,-100.1943898,17.4221123
Ptychoramphus aleuticus australis,alcuela oscura,Endémica,-114.36,27.1
Puffinus auricularis,"pardela de Islas Revillagigedo, pardela de Revillagigedo",Endémica,-108.837507,18.789197
Puffinus opisthomelas,pardela mexicana,Semiendémica,-111.2557983,27.9689337
Quiscalus palustris,zanate del Lerma,Endémica,-99.5203884,19.2429981
Rallus tenuirostris,rascón azteca,Endémica,-103.2832499,20.404625
Ramosomyia violiceps,colibrí corona violeta,Semiendémica,-103.3946993,20.7082516
Ramosomyia viridifrons,colibrí frente verde,Endémica,-93.646946,16.1749128
Ramphotrigon flammulatum,"papamoscas jaspeado, papamoscas mexicano",Endémica,-106.332947,23.4299623
Rhodothraupis celaeno,picogordo cuello rojo,Endémica,-99.2587,23.2363
Rhynchopsitta pachyrhyncha,cotorra serrana occidental,Endémica,-107.535,30.4166667
Rhynchopsitta terrisi,cotorra serrana oriental,Endémica,-101.4483333,25.2016667
Ridgwayia pinicola,"mirlo azteca, mirlo pinto",Endémica,-99.66667,17.55
Salpinctes obsoletus exsul,chivirín saltarroca,Endémica,-110.8166667,19.3
Salpinctes obsoletus guadeloupensis,chivirín saltarroca,Endémica,-118.2666667,29
Salpinctes obsoletus tenuirostris,chivirín saltarroca,Endémica,-115.5866667,28.305
Selasphorus calliope,"colibrí garganta rayada, zumbador garganta rayada",Semiendémica,-103.518863,19.533456
Selasphorus heloisa,zumbador mexicano,Endémica,-97.0159721,19.5298923
Selasphorus platycercus,zumbador cola ancha,Semiendémica,-99.6770748,19.2848132
Selasphorus sasin,zumbador de Allen,Semiendémica,-99.1195214,20.0073064
Setophaga nigrescens,chipe negrogris,Semiendémica,-97.4172547,18.9481856
Setophaga petechia rhizophorae,"chipe de manglar, chipe de manglar Occidental, chipe manglero",Endémica,-108.3656521,25.1528517
Sitta carolinensis lagunae,sita pecho blanco,Endémica,-109.8,23.465
Spinus atriceps,"jilguerito corona negra, jilguero corona negra",Cuasiendémica,-92.225,15.2366667
Spizella pallida,gorrión pálido,Semiendémica,-100.581523,25.021968
Spizella wortheni,gorrión de Worthen,Endémica,-100.581523,25.021968
Sporophila torqueola,"semillero de collar, semillero rabadilla canela",Endémica,-101.6166216,19.6277471
Streptoprocne semicollaris,vencejo nuca blanca,Endémica,-99.5,17.55
Strix sartorii,"búho barrado, búho listado",Endémica,-104.8233611,20.7490556
Synthliboramphus craveri,mérgulo de Craveri,Semiendémica,-111.8385315,24.4502436
Synthliboramphus hypoleucus,mérgulo de Xantus,Semiendémica,-117.6385,32.5833
Synthliboramphus scrippsi,mérgulo de scripps,Semiendémica,-116.626189,31.853884
Thalasseus elegans,charrán elegante,Semiendémica,-109.2345923,26.405194
Thryophilus sinaloa,"chivirín sinaloense, saltapared sinaloense",Endémica,-100.1943898,17.4221123
Toxostoma bendirei,cuicacoche pico corto,Semiendémica,-109.2345923,26.405194
Toxostoma cinereum,"cuicacoche bajacaliforniano, cuitlacoche peninsular",Endémica,-109.928211,23.657133
Toxostoma guttatum,cuicacoche de Isla Cozumel,Endémica,-86.9324413,20.454812
Toxostoma longirostre,cuicacoche pico largo,Cuasiendémica,-100.278894,22.536023
Toxostoma ocellatum,cuicacoche moteado,Endémica,-97.4172547,18.9481856
Troglodytes sissonii,"chivirín de Socorro, saltapared de Isla Socorro",Endémica,-110.949577,18.727155
Troglodytes tanneri,"chivirín de Clarión, saltapared de Isla Clarión",Endémica,-114.755748,18.350496
Trogon citreolus,"coa citrina, trogón citrino",Endémica,-105.1196864,20.753688
Turdus rufitorques,"mirlo cuello canela, mirlo cuello rufo",Cuasiendémica,-92.6398931,16.7344175
Turdus rufopalliatus,"mirlo dorso canela, mirlo dorso rufo",Endémica,-100.1943898,17.4221123
Tyrannus crassirostris,tirano pico grueso,Semiendémica,-100.1943898,17.4221123
Tyrannus vociferans,"tirano chibiú, tirano gritón",Semiendémica,-105.1362827,24.8034639
Uropsila leucogastra,"chivirín vientre blanco, saltapared vientre blanco",Cuasiendémica,-89.7572708,20.3800325
Vireo atricapilla,vireo gorra negra,Semiendémica,-97.076752,16.089371
Vireo bairdi,"vireo de Cozumel, vireo de Isla Cozumel",Endémica,-86.9212908,20.5054757
Vireo brevipennis,vireo pizarra,Endémica,-96.4476013,17.3064344
Vireo cassinii,vireo de Cassin,Semiendémica,-103.518863,19.533456
Vireo gilvus victoriae,vireo gorjeador,Endémica,-109.8,23.465
Vireo griseus perquisitor,vireo ojo blanco,Endémica,-91.3075,16.1900278
Vireo hypochryseus,"vireo amarillo, vireo dorado",Endémica,-100.1943898,17.4221123
Vireo magister,vireo yucateco,Cuasiendémica,-87.0452893,20.6629033
Vireo nelsoni,vireo enano,Endémica,-100.1943898,17.4221123
Vireo vicinior,vireo gris,Semiendémica,-109.2345923,26.405194
Vireolanius melitophrys,"vireón arlequín, vireón pecho castaño",Cuasiendémica,-100.1943898,17.4221123
Xenospiza baileyi,gorrión serrano,Endémica,-105.2871537,23.8956636
Xenotriccus callizonus,"mosquerito fajado, mosquero fajado",Cuasiendémica,-92.670549,16.6791291
Xenotriccus mexicanus,mosquero del Balsas,Endémica,-99.5933286,18.8629832
Xiphocolaptes promeropirhynchus omiltemensis,trepatroncos gigante,Endémica,-91.3047778,16.2000833
Zenaida graysoni,"huilota de Isla Socorro, paloma de Socorro",Endémica,-110.95642,18.77768
Zentrygon carrikeri,"paloma tuxtleña, paloma-perdiz tuxtleña",Endémica,-95.1468534,18.5228338
